name,category,price,sales,rating
Product_1,Home & Kitchen,1666.78,23,3.5
Product_2,Electronics,18226.72,605,4.2
Product_3,Fashion,15797.94,282,1.0
Product_4,Home & Kitchen,15000.42,234,1.3
Product_5,Home & Kitchen,12173.47,506,3.5
Product_6,Sports,2659.6,447,2.9
Product_7,Home & Kitchen,11457.73,80,3.2
Product_8,Electronics,15451.73,846,2.5
Product_9,Books,11683.49,967,3.5
Product_10,Beauty,17628.47,773,2.1
Product_11,Beauty,7344.78,933,3.5
Product_12,Books,8449.22,164,1.2
Product_13,Electronics,10923.66,823,4.8
Product_14,Electronics,10398.92,857,2.4
Product_15,Beauty,15207.25,83,1.2
Product_16,Home & Kitchen,6970.13,380,3.6
Product_17,Fashion,687.19,160,3.6
Product_18,Books,13404.71,697,4.6
Product_19,Home & Kitchen,16877.36,943,3.0
Product_20,Beauty,17548.14,962,3.7
Product_21,Books,1593.97,49,1.3
Product_22,Home & Kitchen,16235.99,513,4.3
Product_23,Fashion,6714.04,467,1.4
Product_24,Electronics,3911.37,585,4.1
Product_25,Beauty,8888.24,719,4.7
Product_26,Beauty,11166.75,484,2.2
Product_27,Beauty,15749.73,234,3.1
Product_28,Beauty,17130.8,29,4.5
Product_29,Home & Kitchen,2735.9,908,4.8
Product_30,Beauty,8575.42,892,3.7
Product_31,Books,2792.88,423,2.4
Product_32,Electronics,8629.91,577,3.5
Product_33,Beauty,4090.24,710,4.3
Product_34,Electronics,6614.47,820,3.0
Product_35,Home & Kitchen,7119.09,908,2.7
Product_36,Home & Kitchen,11345.3,911,3.9
Product_37,Books,2007.52,207,2.9
Product_38,Books,16120.06,331,1.7
Product_39,Sports,8534.22,749,4.8
Product_40,Beauty,5242.32,442,3.6
Product_41,Beauty,17359.3,326,3.3
Product_42,Electronics,11330.49,384,4.6
Product_43,Home & Kitchen,19517.26,380,1.7
Product_44,Beauty,6972.9,6,4.5
Product_45,Electronics,14212.6,979,3.4
Product_46,Books,4414.76,932,3.6
Product_47,Beauty,14012.43,938,3.2
Product_48,Fashion,18192.02,758,3.9
Product_49,Books,3291.76,341,2.9
Product_50,Books,13712.15,304,2.0
Product_51,Beauty,13148.83,508,3.0
Product_52,Beauty,14639.86,720,3.2
Product_53,Beauty,14535.97,639,2.1
Product_54,Sports,3679.11,807,4.0
Product_55,Electronics,12095.47,517,1.5
Product_56,Books,19501.86,972,1.3
Product_57,Electronics,19166.4,76,1.2
Product_58,Beauty,2996.95,933,1.4
Product_59,Books,10636.79,214,2.6
Product_60,Fashion,9934.15,133,5.0
Product_61,Home & Kitchen,4927.65,154,1.3
Product_62,Electronics,817.26,216,3.3
Product_63,Fashion,10907.26,691,1.5
Product_64,Home & Kitchen,10908.4,362,4.6
Product_65,Fashion,917.57,654,4.6
Product_66,Beauty,4342.09,283,2.9
Product_67,Books,10205.05,791,2.8
Product_68,Home & Kitchen,16822.26,179,2.5
Product_69,Books,18164.72,961,2.8
Product_70,Sports,13724.77,463,1.7
Product_71,Electronics,9334.19,427,4.0
Product_72,Sports,3319.19,975,2.6
Product_73,Sports,4928.95,607,1.3
Product_74,Sports,3450.95,820,3.5
Product_75,Electronics,11323.22,85,1.1
Product_76,Sports,19036.81,168,2.4
Product_77,Electronics,16798.98,363,3.1
Product_78,Sports,1342.98,276,2.3
Product_79,Electronics,18047.69,308,4.4
Product_80,Sports,4596.73,870,3.6
Product_81,Books,7003.32,551,1.7
Product_82,Sports,4158.07,561,1.9
Product_83,Electronics,14894.21,989,2.2
Product_84,Beauty,3579.46,243,2.4
Product_85,Books,4894.19,769,4.4
Product_86,Electronics,9667.57,886,2.4
Product_87,Sports,2816.92,420,3.7
Product_88,Books,19324.31,98,2.6
Product_89,Beauty,16639.0,289,1.3
Product_90,Electronics,10475.26,846,4.8
Product_91,Fashion,7157.96,504,4.4
Product_92,Books,5073.09,141,4.6
Product_93,Home & Kitchen,11958.47,782,2.8
Product_94,Fashion,1890.97,549,5.0
Product_95,Home & Kitchen,1540.35,974,2.9
Product_96,Electronics,2323.3,747,4.4
Product_97,Electronics,19120.33,129,4.1
Product_98,Home & Kitchen,7953.38,334,2.6
Product_99,Fashion,4837.68,617,3.3
Product_100,Fashion,18960.81,648,4.5
Product_101,Sports,4105.48,147,4.6
Product_102,Sports,4290.68,930,2.7
Product_103,Books,18869.99,434,2.0
Product_104,Home & Kitchen,8386.54,159,4.9
Product_105,Beauty,14555.37,972,4.7
Product_106,Electronics,1330.46,634,4.1
Product_107,Beauty,17313.91,562,2.4
Product_108,Home & Kitchen,12687.98,560,2.1
Product_109,Beauty,12278.91,252,2.0
Product_110,Fashion,3079.12,891,2.4
Product_111,Beauty,15843.63,217,1.2
Product_112,Beauty,19040.15,220,2.2
Product_113,Books,2602.9,578,3.4
Product_114,Electronics,4496.76,484,1.4
Product_115,Electronics,18837.37,286,2.8
Product_116,Fashion,8735.16,611,3.1
Product_117,Fashion,1810.4,565,2.5
Product_118,Beauty,6538.76,232,2.2
Product_119,Beauty,613.59,870,1.4
Product_120,Home & Kitchen,17056.18,471,2.1
Product_121,Home & Kitchen,17311.06,222,3.9
Product_122,Fashion,18747.6,500,4.2
Product_123,Beauty,9860.4,321,2.6
Product_124,Beauty,3138.75,361,3.4
Product_125,Beauty,12872.68,687,1.3
Product_126,Home & Kitchen,16733.37,825,3.4
Product_127,Books,9972.22,219,4.5
Product_128,Books,2170.96,546,3.9
Product_129,Books,7302.13,894,1.6
Product_130,Beauty,5329.3,166,3.5
Product_131,Books,7209.1,515,4.7
Product_132,Sports,15738.44,398,4.2
Product_133,Electronics,14632.26,304,3.8
Product_134,Books,10955.58,952,2.2
Product_135,Sports,5613.07,440,4.5
Product_136,Home & Kitchen,19454.67,423,4.5
Product_137,Books,3329.09,491,1.0
Product_138,Electronics,9801.54,319,2.8
Product_139,Sports,5289.17,889,3.5
Product_140,Beauty,2409.75,388,3.9
Product_141,Beauty,1979.35,738,2.8
Product_142,Sports,2713.02,149,2.9
Product_143,Home & Kitchen,16398.96,355,3.4
Product_144,Fashion,5901.39,800,4.5
Product_145,Books,17067.17,506,4.5
Product_146,Home & Kitchen,6231.68,917,4.7
Product_147,Sports,9084.74,941,1.3
Product_148,Sports,13416.18,820,1.8
Product_149,Sports,9748.86,904,2.1
Product_150,Beauty,15112.2,256,3.0
Product_151,Fashion,4209.41,669,1.6
Product_152,Home & Kitchen,2127.75,224,4.1
Product_153,Sports,608.28,784,4.8
Product_154,Sports,18821.19,140,2.9
Product_155,Beauty,1798.43,487,1.3
Product_156,Home & Kitchen,2189.63,166,2.2
Product_157,Sports,2588.52,65,3.8
Product_158,Beauty,14174.28,372,2.1
Product_159,Books,11350.96,948,3.2
Product_160,Fashion,3313.53,900,1.3
Product_161,Electronics,18831.83,583,1.8
Product_162,Fashion,10584.39,159,1.1
Product_163,Home & Kitchen,16713.68,8,1.0
Product_164,Books,14633.83,964,3.4
Product_165,Books,13628.23,969,1.2
Product_166,Fashion,18076.64,795,2.9
Product_167,Beauty,15315.82,788,4.7
Product_168,Beauty,18753.01,14,2.3
Product_169,Electronics,5146.01,859,4.8
Product_170,Electronics,15006.88,747,2.6
Product_171,Sports,19017.05,488,4.9
Product_172,Sports,780.32,774,4.7
Product_173,Books,6769.74,19,4.6
Product_174,Beauty,8838.57,360,1.1
Product_175,Beauty,3678.27,463,4.4
Product_176,Home & Kitchen,4964.98,107,4.5
Product_177,Beauty,13471.14,899,4.3
Product_178,Home & Kitchen,5601.42,635,3.3
Product_179,Fashion,5017.42,747,2.1
Product_180,Fashion,17255.5,512,4.1
Product_181,Books,9525.82,338,2.4
Product_182,Beauty,6276.11,350,2.8
Product_183,Beauty,803.47,899,1.5
Product_184,Beauty,12460.64,130,2.0
Product_185,Books,15277.1,993,1.9
Product_186,Fashion,12285.34,353,2.6
Product_187,Electronics,16559.59,974,4.8
Product_188,Beauty,19842.44,76,3.4
Product_189,Home & Kitchen,3120.43,40,1.1
Product_190,Home & Kitchen,10942.41,448,1.5
Product_191,Fashion,1238.83,274,3.3
Product_192,Electronics,9949.39,394,1.4
